country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
AR,-51.62,-69.22,51.8,53.0,90.0,8.41,2019-03-05 23:00:00
IR,31.6,55.4,27.81,63.0,0.0,3.15,2019-03-06 00:02:48
AU,-32.25,148.6,86.0,28.0,24.0,16.11,2019-03-05 23:00:00
RU,51.24,48.77,35.6,88.0,32.0,18.48,2019-03-06 00:02:49
PH,8.0,124.29,78.01,73.0,0.0,4.0,2019-03-06 00:00:45
,,,,,,,
UY,-33.69,-53.46,68.04,94.0,0.0,8.41,2019-03-05 23:58:18
,,,,,,,
MY,2.02,112.94,72.95,97.0,80.0,2.59,2019-03-05 23:58:49
HT,18.19,-73.75,79.7,96.0,44.0,5.73,2019-03-06 00:02:50
RU,58.71,81.5,17.51,78.0,68.0,6.4,2019-03-06 00:02:51
,,,,,,,
VG,18.42,-64.62,78.8,69.0,1.0,11.41,2019-03-06 00:02:35
NA,-26.65,15.16,60.71,83.0,0.0,7.74,2019-03-06 00:02:51
NZ,-46.13,167.69,75.0,71.0,24.0,5.01,2019-03-06 00:00:09
EC,-1.64,-78.74,52.43,84.0,88.0,1.14,2019-03-06 00:02:52
,,,,,,,
,,,,,,,
GL,65.61,-37.64,19.4,44.0,20.0,24.16,2019-03-05 22:50:00
US,41.39,-78.88,16.0,78.0,90.0,12.75,2019-03-06 00:02:24
PT,38.52,-28.7,58.23,100.0,0.0,15.68,2019-03-06 00:02:52
JP,33.72,135.99,51.8,57.0,75.0,9.17,2019-03-05 23:00:00
AO,-8.83,13.24,75.2,94.0,40.0,3.36,2019-03-05 23:00:00
,,,,,,,
ID,0.7,108.9,77.63,85.0,76.0,4.38,2019-03-06 00:02:53
AU,-20.73,139.49,87.8,35.0,0.0,4.7,2019-03-05 23:30:00
,,,,,,,
,,,,,,,
,,,,,,,
US,41.13,-74.37,30.2,36.0,1.0,6.4,2019-03-06 00:01:21
ML,11.09,-6.89,73.58,31.0,0.0,8.75,2019-03-06 00:02:54
IE,53.8,-9.52,41.0,91.0,92.0,21.99,2019-03-06 00:02:04
ES,29.06,-13.56,64.4,68.0,40.0,3.36,2019-03-05 23:30:00
,,,,,,,
AU,-15.77,128.74,86.0,70.0,0.0,2.24,2019-03-05 23:30:00
BY,52.8,28.0,37.26,98.0,92.0,16.13,2019-03-06 00:02:55
ES,37.47,-4.43,55.99,93.0,88.0,4.16,2019-03-05 23:56:54
KR,37.57,126.98,41.0,86.0,20.0,2.24,2019-03-05 23:50:00
KZ,47.8,67.71,3.2,84.0,90.0,2.24,2019-03-05 23:30:00
BR,-11.04,-45.19,70.25,93.0,64.0,2.82,2019-03-06 00:02:56
,,,,,,,
GA,-2.79,10.1,79.25,100.0,68.0,1.59,2019-03-06 00:02:56
IS,63.84,-22.43,28.4,100.0,75.0,3.36,2019-03-05 23:54:15
SY,35.3,37.18,48.83,98.0,92.0,4.83,2019-03-06 00:02:57
CN,28.78,105.09,49.01,92.0,88.0,2.71,2019-03-06 00:02:57
AU,-37.88,147.99,57.99,78.0,92.0,4.0,2019-03-06 00:02:23
NO,78.22,15.63,-5.81,63.0,20.0,6.93,2019-03-05 23:50:00
SO,9.49,50.81,78.39,100.0,0.0,12.88,2019-03-06 00:02:58
CY,34.81,32.42,50.0,87.0,0.0,6.93,2019-03-06 00:00:35
GA,-1.57,9.26,79.47,100.0,80.0,3.15,2019-03-06 00:02:58
PF,-16.48,-151.75,84.33,100.0,80.0,5.73,2019-03-06 00:02:58
RU,63.37,47.92,24.3,86.0,92.0,6.73,2019-03-06 00:02:58
GY,6.8,-58.16,77.0,83.0,20.0,4.7,2019-03-05 23:00:00
PT,38.73,-27.07,55.4,62.0,40.0,20.49,2019-03-06 00:00:05
RU,58.45,56.42,24.8,85.0,75.0,11.18,2019-03-05 23:30:00
MX,23.99,-104.67,86.0,7.0,5.0,12.75,2019-03-05 23:50:17
AR,-38.72,-62.27,71.6,51.0,44.0,9.53,2019-03-06 00:00:01
BB,13.22,-59.52,78.8,69.0,20.0,18.34,2019-03-05 23:00:00
AU,-23.13,150.74,82.4,65.0,75.0,11.41,2019-03-05 23:30:00
CA,49.78,-74.86,3.2,77.0,90.0,3.36,2019-03-05 23:46:00
US,33.83,-87.28,42.8,32.0,0.0,7.07,2019-03-06 00:02:49
CA,69.44,-133.03,8.6,78.0,20.0,6.93,2019-03-05 23:00:00
,,,,,,,
CA,45.36,-73.48,17.01,78.0,90.0,6.93,2019-03-05 23:58:09
RU,55.36,37.98,39.99,86.0,75.0,8.95,2019-03-05 23:49:22
ID,4.47,97.97,68.85,95.0,32.0,2.04,2019-03-06 00:03:01
,,,,,,,
ES,28.66,-17.92,62.6,72.0,32.0,5.82,2019-03-06 00:00:14
,,,,,,,
CA,63.75,-68.52,-16.01,75.0,5.0,0.81,2019-03-05 23:52:47
RU,64.9,45.76,12.96,85.0,88.0,6.4,2019-03-06 00:03:02
US,33.61,-114.59,82.0,21.0,1.0,8.05,2019-03-06 00:00:08
EE,59.1,26.19,13.68,73.0,0.0,9.53,2019-03-05 23:59:07
,,,,,,,
VU,-19.55,169.27,87.8,70.0,75.0,8.05,2019-03-05 23:00:00
NO,70.86,29.09,15.8,100.0,44.0,6.4,2019-03-05 23:58:15
RU,60.47,166.1,13.77,89.0,12.0,3.94,2019-03-06 00:03:03
,,,,,,,
CA,66.15,-65.72,-4.01,83.0,75.0,4.7,2019-03-05 23:00:00
RU,67.47,86.57,8.51,85.0,56.0,14.23,2019-03-06 00:03:04
US,45.3,-122.97,45.0,38.0,75.0,14.99,2019-03-06 00:00:41
DE,50.67,13.08,39.99,93.0,75.0,8.05,2019-03-06 00:02:46
MV,2.67,72.89,82.76,100.0,8.0,8.63,2019-03-06 00:03:04
AR,-39.03,-67.58,68.0,52.0,0.0,4.5,2019-03-05 23:00:00
US,35.53,-108.74,62.6,16.0,1.0,16.11,2019-03-05 22:53:00
US,43.71,-98.03,17.6,61.0,1.0,12.75,2019-03-06 00:00:04
IT,45.76,8.56,51.01,59.0,0.0,6.93,2019-03-06 00:02:29
RU,65.58,-170.99,29.52,98.0,92.0,9.98,2019-03-06 00:03:06
TT,10.24,-61.45,78.01,83.0,20.0,8.05,2019-03-06 00:01:39
RU,49.91,38.89,34.02,93.0,56.0,10.76,2019-03-06 00:03:06
RU,66.77,123.37,6.48,87.0,88.0,11.1,2019-03-05 23:58:44
PF,-17.53,-149.33,87.8,66.0,40.0,9.17,2019-03-06 00:03:06
NO,71.0,24.66,23.0,92.0,75.0,24.16,2019-03-05 23:50:00
MX,16.86,-99.88,82.4,74.0,5.0,10.29,2019-03-05 22:49:00
AU,-12.18,136.78,84.2,83.0,75.0,9.17,2019-03-05 23:30:00
TC,21.46,-71.14,78.08,97.0,8.0,11.77,2019-03-06 00:00:25
RU,45.39,47.37,33.3,81.0,0.0,12.66,2019-03-06 00:03:08
AU,-25.3,152.85,84.0,74.0,90.0,6.93,2019-03-06 00:00:08
PH,13.32,122.68,78.75,100.0,24.0,6.85,2019-03-06 00:03:08
RU,68.06,166.44,-0.9,74.0,92.0,3.15,2019-03-06 00:03:09
ID,-0.92,100.36,69.8,94.0,40.0,1.12,2019-03-05 23:00:00
CO,-0.19,-74.78,76.59,94.0,80.0,0.69,2019-03-06 00:01:34
US,40.04,-76.31,30.99,49.0,1.0,6.93,2019-03-06 00:00:44
ZM,-16.81,26.98,65.07,67.0,12.0,4.72,2019-03-06 00:03:10
RU,69.7,170.27,6.35,95.0,92.0,3.94,2019-03-06 00:03:10
IN,20.71,81.55,68.0,82.0,0.0,3.36,2019-03-05 23:00:00
RU,62.53,155.8,-4.95,74.0,80.0,4.38,2019-03-06 00:03:10
NZ,-46.28,169.85,69.01,73.0,0.0,4.0,2019-03-06 00:01:05
MX,22.89,-109.91,78.8,41.0,40.0,8.05,2019-03-05 23:55:39
PH,7.64,122.93,78.8,85.0,0.0,3.71,2019-03-06 00:03:11
AU,-23.53,148.16,84.2,62.0,90.0,11.41,2019-03-05 23:58:36
BR,-15.9,-54.74,76.41,78.0,48.0,3.27,2019-03-06 00:03:12
BR,-3.2,-52.21,76.14,90.0,88.0,2.59,2019-03-05 23:58:56
ES,39.57,-1.21,55.0,93.0,20.0,2.24,2019-03-06 00:03:05
CN,34.57,105.89,28.58,79.0,56.0,4.05,2019-03-06 00:03:12
TR,41.38,33.78,24.8,85.0,20.0,3.6,2019-03-06 00:03:12
AR,-34.61,-58.44,75.2,83.0,0.0,10.29,2019-03-06 00:00:02
,,,,,,,
BT,27.43,89.41,15.57,89.0,32.0,1.92,2019-03-05 23:58:20
RU,70.0,135.55,-23.49,34.0,24.0,3.71,2019-03-06 00:03:13
MX,15.86,-97.07,86.0,66.0,5.0,8.05,2019-03-05 22:40:00
SA,24.63,46.72,66.2,22.0,0.0,11.41,2019-03-05 23:00:00
GR,39.42,22.43,42.8,87.0,40.0,4.72,2019-03-05 22:50:00
JP,43.32,145.57,30.2,74.0,0.0,10.29,2019-03-05 23:30:00
,,,,,,,
ZA,-25.77,29.46,59.45,95.0,0.0,7.18,2019-03-06 00:03:15
BR,-7.52,-72.89,84.2,79.0,40.0,0.47,2019-03-05 23:00:00
